Company,Symbol
Agnico Eagle Mines,AEM
Agrium,AGU
Alimentation Couche-Tard,ATD.B
ARC Resources,ARX
Bank of Montreal,BMO
Bank of Nova Scotia,BNS
Barrick Gold Corp,ABX
Bce,BCE
BlackBerry,BB
Bombardier,BBD.B
Brookfield Asset Management,BAM.A
Cameco Corp,CCO
Canadian Imperial Bank of Commerce,CM
Canadian National Railway Co,CNR
Canadian Natural Resources,CNQ
Canadian Pacific Railway,CP
Canadian Tire Corporation,CTC.A
Cenovus Energy,CVE
CGI Group,GIB.A
Constellation Software,CSU
Crescent Point Energy Corp,CPG
Dollarama,DOL
Eldorado Gold Corp,ELD
Emera,EMA
Enbridge,ENB
Encana Corporation,ECA
First Quantum Minerals,FM
Fortis,FTS
Franco-Nevada Corp,FNV
George Weston,WN
Gildan Activewear,GIL
Goldcorp,G
Husky Energy,HSE
Imperial Oil,IMO
Inter Pipeline,IPL
Kinross Gold Corp,K
Loblaw Companies,L
Magna International,MG
Manulife Financial Corp,MFC
Metro,MRU
National Bank of Canada,NA
Pembina Pipeline Corp,PPL
Potash Corporation of Saskatchewan,POT
Power Corporation of Canada,POW
Restaurant Brands International,QSR
Rogers Communications,RCI.B
Royal Bank of Canada,RY
Saputo,SAP
Shaw Communications,SJR.B
Silver Wheaton Corp,SLW
SNC-Lavalin Group,SNC
Sun Life Financial,SLF
Suncor Energy,SU
Teck Resources,TCK.B
TELUS Corp,T
Thomson Reuters Corp,TRI
Toronto-Dominion Bank,TD
TransCanada Corp,TRP
Valeant Pharmaceuticals International,VRX
Yamana Gold,YRI
